X.,Name,Type.1,Type.2,Total,HP,Attack,Defense,Sp..Atk,Sp..Def,Speed,Generation,Legendary,Mega,Tier
212,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,false,true,OU
214,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,false,true,OU
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,false,false,OU
243,Raikou,Electric,,580,90,85,75,115,100,115,2,true,false,OU
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,false,false,OU
248,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,false,true,OU
282,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,false,true,OU
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,false,false,OU
308,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,false,true,OU
310,Mega Manectric,Electric,,575,70,75,80,135,80,135,3,false,true,OU
376,Mega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,false,true,OU
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,true,false,OU
380,Mega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,true,true,OU
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,true,false,OU
381,Mega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,true,true,OU
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,true,false,OU
428,Mega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,false,true,OU
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,false,false,OU
445,Mega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,false,true,OU
450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,false,false,OU
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,false,false,OU
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,false,false,OU
465,Tangrowth,Grass,,535,100,100,125,110,50,50,4,false,false,OU
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,false,false,OU
482,Azelf,Psychic,,580,75,125,70,125,70,115,4,true,false,OU
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,true,false,OU
490,Manaphy,Water,,600,100,100,100,100,100,100,4,true,false,OU
497,Serperior,Grass,,528,75,75,95,75,95,113,5,false,false,OU
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,false,false,OU
591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,false,false,OU
598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,false,false,OU
625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,false,false,OU
663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,false,false,OU
719,Mega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,true,true,OU
721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,true,false,OU
647,Keldeo,Water,Fighting,580,91,72,90,129,90,108,5,false,false,OU
646,Kyurem-B,Dragon,Ice,700,125,170,100,120,90,95,5,true,false,OU
645,Landorus-T,Ground,Flying,600,89,145,90,105,80,91,5,true,false,OU
641,Tornadus-T,Flying,,580,79,100,80,110,90,121,5,true,false,OU
479,Rotom-W,Electric,Water,520,50,65,107,105,107,86,4,false,false,OU
642,Thundurus,Electric,Flying,580,79,115,70,125,80,111,5,true,false,OU
18,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,false,true,BL
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,false,false,BL
65,Mega Alakazam,Psychic,,590,55,50,65,175,95,150,1,false,true,BL
130,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,false,true,BL
334,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,false,true,BL
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,false,false,BL
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,false,false,BL
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,false,false,BL
475,Mega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,false,true,BL
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,true,false,BL
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,false,false,BL
637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,false,false,BL
639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,true,false,BL
660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,false,false,BL
701,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,false,false,BL
642,Thundurus-T,Electric,Flying,580,79,105,70,145,80,101,5,true,false,BL
718,Zygarde,Dragon,Ground,600,108,100,121,81,95,95,6,true,false,BL
9,Mega Blastoise,Water,,630,79,103,120,135,115,78,1,false,true,UU
15,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,false,true,UU
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,false,false,UU
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,false,false,UU
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,false,false,UU
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,false,false,UU
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,false,false,UU
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,false,false,UU
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,false,false,UU
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,false,false,UU
142,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,false,true,UU
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,false,false,UU
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,false,false,UU
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,false,false,UU
181,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,false,true,UU
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,false,false,UU
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,false,false,UU
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,false,false,UU
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,false,false,UU
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,false,false,UU
232,Donphan,Ground,,500,90,120,120,60,60,50,2,false,false,UU
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,false,false,UU
242,Blissey,Normal,,540,255,10,10,75,135,55,2,false,false,UU
244,Entei,Fire,,580,115,115,85,90,75,100,2,true,false,UU
245,Suicune,Water,,580,100,75,115,90,115,85,2,true,false,UU
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,true,false,UU
254,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,false,true,UU
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,false,false,UU
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,3,false,true,UU
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,false,false,UU
306,Mega Aggron,Steel,,630,70,140,230,60,80,50,3,false,true,UU
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,false,true,UU
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,false,false,UU
350,Milotic,Water,,540,95,60,79,100,125,81,3,false,false,UU
359,Mega Absol,Dark,,565,65,150,60,115,60,115,3,false,true,UU
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,false,false,UU
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,false,false,UU
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,false,false,UU
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,false,false,UU
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,false,false,UU
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,false,false,UU
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,false,false,UU
474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,false,false,UU
488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,false,false,UU
534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,false,false,UU
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,false,false,UU
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,false,false,UU
579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,false,false,UU
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,false,false,UU
609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,false,false,UU
612,Haxorus,Dragon,,540,76,147,90,60,70,97,5,false,false,UU
620,Mienshao,Fighting,,510,65,125,60,95,60,105,5,false,false,UU
630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,false,false,UU
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,false,false,UU
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,true,false,UU
652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,false,false,UU
671,Florges,Fairy,,552,78,65,68,112,154,75,6,false,false,UU
680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,false,false,UU
695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,false,false,UU
700,Sylveon,Fairy,,525,95,65,65,110,130,60,6,false,false,UU
706,Goodra,Dragon,,600,90,100,70,110,150,80,6,false,false,UU
707,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,false,false,UU
555,Darmanitan,Fire,,480,105,140,55,30,55,95,5,false,false,UU
479,Rotom-H,Electric,Fire,520,50,65,107,105,107,86,4,false,false,UU
641,Tornadus,Flying,,580,79,115,70,125,80,111,5,true,false,UU
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,false,false,BL2
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,true,false,BL2
208,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,false,true,BL2
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,false,false,BL2
229,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,false,true,BL2
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,false,false,BL2
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,false,false,BL2
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,false,false,BL2
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,false,false,BL2
460,Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,false,true,BL2
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,false,false,BL2
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,false,false,BL2
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,false,false,BL2
632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,false,false,BL2
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,true,false,BL2
675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,false,false,BL2
685,Slurpuff,Fairy,,480,82,80,86,85,75,72,6,false,false,BL2
691,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,false,false,BL2
697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,false,false,BL2
715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,false,false,BL2
492,Shaymin,Grass,,600,100,100,100,100,100,100,4,true,false,BL2
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,false,false,RU
9,Blastoise,Water,,530,79,83,100,85,105,78,1,false,false,RU
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,false,false,RU
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,false,false,RU
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,false,false,RU
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,false,false,RU
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,false,false,RU
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,false,false,RU
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,false,false,RU
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,false,false,RU
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,false,false,RU
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,false,false,RU
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,false,false,RU
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,false,false,RU
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,false,false,RU
295,Exploud,Normal,,490,104,91,63,91,73,68,3,false,false,RU
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,false,false,RU
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,false,true,RU
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,false,false,RU
354,Mega Banette,Ghost,,555,64,165,75,93,83,75,3,false,true,RU
359,Absol,Dark,,465,65,130,60,75,60,75,3,false,false,RU
362,Mega Glalie,Ice,,580,80,120,80,120,80,100,3,false,true,RU
379,Registeel,Steel,,580,80,75,150,75,150,50,3,true,false,RU
424,Ambipom,Normal,,482,75,100,66,60,66,115,4,false,false,RU
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,false,false,RU
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,false,false,RU
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,false,false,RU
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,false,false,RU
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,false,false,RU
480,Uxie,Psychic,,580,75,75,130,75,130,95,4,true,false,RU
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,false,false,RU
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,false,false,RU
539,Sawk,Fighting,,465,75,125,75,30,75,85,5,false,false,RU
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,false,false,RU
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,false,false,RU
563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,false,false,RU
573,Cinccino,Normal,,470,75,95,60,65,60,115,5,false,false,RU
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,false,false,RU
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,false,false,RU
594,Alomomola,Water,,470,165,75,80,40,45,65,5,false,false,RU
604,Eelektross,Electric,,515,85,115,80,105,80,50,5,false,false,RU
617,Accelgor,Bug,,495,80,70,40,100,60,145,5,false,false,RU
621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,false,false,RU
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,false,false,RU
640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,true,false,RU
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,false,false,RU
662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,false,false,RU
683,Aromatisse,Fairy,,462,101,72,72,99,89,29,6,false,false,RU
693,Clawitzer,Water,,500,71,73,88,120,89,59,6,false,false,RU
719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,true,false,RU
720,Hoopa,Psychic,Ghost,600,80,110,60,150,130,70,6,true,false,RU
479,Meloetta,Electric,Grass,520,50,65,107,105,107,86,4,true,false,RU
648,Meloetta-P,Normal,Psychic,600,100,77,77,128,128,90,5,true,false,RU
648,Rotom-C,Normal,Fighting,600,100,128,90,77,77,128,5,false,false,RU
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,false,false,BL3
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,false,false,NU
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,false,false,NU
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,false,false,NU
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,false,false,NU
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,false,false,NU
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,false,false,NU
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,false,false,NU
110,Weezing,Poison,,490,65,90,120,85,70,60,1,false,false,NU
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,false,false,NU
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,false,false,NU
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,false,false,NU
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,false,false,NU
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,false,false,NU
128,Tauros,Normal,,490,75,100,95,40,70,110,1,false,false,NU
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,false,false,NU
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,false,false,NU
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,false,false,NU
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,false,false,NU
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,false,false,NU
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,false,false,NU
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,false,false,NU
241,Miltank,Normal,,490,95,80,105,40,70,100,2,false,false,NU
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,false,false,NU
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,false,false,NU
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,false,false,NU
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,false,false,NU
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,false,false,NU
310,Manectric,Electric,,475,70,75,60,105,60,105,3,false,false,NU
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,false,false,NU
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,false,false,NU
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,false,false,NU
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,false,false,NU
377,Regirock,Rock,,580,80,100,200,50,100,50,3,true,false,NU
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,false,false,NU
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,false,false,NU
429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,false,false,NU
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,false,false,NU
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,false,false,NU
466,Electivire,Electric,,540,75,123,67,95,85,95,4,false,false,NU
467,Magmortar,Fire,,540,75,95,67,125,95,83,4,false,false,NU
481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,true,false,NU
503,Samurott,Water,,528,95,100,85,108,70,70,5,false,false,NU
510,Liepard,Dark,,446,64,88,50,88,50,106,5,false,false,NU
531,Mega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,false,true,NU
533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,false,false,NU
549,Lilligant,Grass,,480,70,60,75,110,75,90,5,false,false,NU
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,false,false,NU
569,Garbodor,Poison,,474,80,95,82,60,82,75,5,false,false,NU
597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,false,false,NU
601,Klinklang,Steel,,520,60,100,115,70,85,90,5,false,false,NU
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,false,false,NU
666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,false,false,NU
668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,false,false,NU
687,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,false,false,NU
689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,false,false,NU
699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,false,false,NU
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,false,false,NU
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,false,false,BL4
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,false,false,BL4
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,false,false,BL4
264,Linoone,Normal,,420,78,70,61,50,61,100,3,false,false,BL4
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,false,false,BL4
518,Musharna,Psychic,,487,116,55,85,107,95,29,5,false,false,BL4
538,Throh,Fighting,,465,120,100,85,30,85,45,5,false,false,BL4
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,false,false,BL4
8,Wartortle,Water,,405,59,63,80,65,80,58,1,false,false,PU
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,false,false,PU
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,false,false,PU
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,false,false,PU
20,Raticate,Normal,,413,55,81,60,50,70,97,1,false,false,PU
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,false,false,PU
24,Arbok,Poison,,438,60,85,69,65,79,80,1,false,false,PU
26,Raichu,Electric,,485,60,90,55,90,80,110,1,false,false,PU
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,false,false,PU
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,false,false,PU
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,false,false,PU
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,false,false,PU
53,Persian,Normal,,440,65,70,60,65,65,115,1,false,false,PU
55,Golduck,Water,,500,80,82,78,95,80,85,1,false,false,PU
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,false,false,PU
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,false,false,PU
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,false,false,PU
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,false,false,PU
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,false,false,PU
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,false,false,PU
89,Muk,Poison,,500,105,105,75,65,100,50,1,false,false,PU
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,false,false,PU
99,Kingler,Water,,475,55,130,115,50,50,75,1,false,false,PU
101,Electrode,Electric,,480,60,50,70,80,80,140,1,false,false,PU
105,Marowak,Ground,,425,60,80,110,50,80,45,1,false,false,PU
114,Tangela,Grass,,435,65,55,115,100,40,60,1,false,false,PU
119,Seaking,Water,,450,80,92,65,65,80,68,1,false,false,PU
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,false,false,PU
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,false,false,PU
132,Ditto,Normal,,288,48,48,48,48,48,48,1,false,false,PU
136,Flareon,Fire,,525,65,130,60,95,110,65,1,false,false,PU
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,true,false,PU
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,false,false,PU
154,Meganium,Grass,,525,80,82,100,83,100,80,2,false,true,PU
162,Furret,Normal,,415,85,76,64,45,55,90,2,false,false,PU
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,false,false,PU
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,false,false,PU
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,false,false,PU
